i	E(i)	g[i]	hist[i]
0	-2048.000000	0.000000	435967
4	-2040.000000	6.945154	470190
6	-2036.000000	7.662689	443799
8	-2032.000000	13.134464	478505
10	-2028.000000	14.532021	486219
12	-2024.000000	18.987448	467744
14	-2020.000000	20.753292	453899
16	-2016.000000	24.575434	469926
18	-2012.000000	26.591593	463508
20	-2008.000000	29.966873	466063
22	-2004.000000	32.175692	463422
24	-2000.000000	35.251585	456644
26	-1996.000000	37.557755	466691
28	-1992.000000	40.391703	452356
30	-1988.000000	42.803335	463140
32	-1984.000000	45.470919	472572
34	-1980.000000	47.919292	479521
36	-1976.000000	50.464268	488369
38	-1972.000000	52.881302	491403
40	-1968.000000	55.352571	494146
42	-1964.000000	57.761057	489234
44	-1960.000000	60.183485	502710
46	-1956.000000	62.565117	505493
48	-1952.000000	64.953554	504640
50	-1948.000000	67.298889	509307
52	-1944.000000	69.637609	503280
54	-1940.000000	71.965641	500109
56	-1936.000000	74.294752	501428
58	-1932.000000	76.580359	489658
60	-1928.000000	78.866013	486633
62	-1924.000000	81.114769	482709
64	-1920.000000	83.396433	486074
66	-1916.000000	85.630058	490949
68	-1912.000000	87.867908	482839
70	-1908.000000	90.088856	491963
72	-1904.000000	92.292820	494771
74	-1900.000000	94.490976	484934
76	-1896.000000	96.664061	487786
78	-1892.000000	98.859745	504553
80	-1888.000000	101.029230	498712
82	-1884.000000	103.185930	498554
84	-1880.000000	105.347828	507775
86	-1876.000000	107.488981	501016
88	-1872.000000	109.622057	503746
90	-1868.000000	111.750374	503341
92	-1864.000000	113.853838	507520
94	-1860.000000	115.966614	514077
96	-1856.000000	118.062757	514756
98	-1852.000000	120.142878	513284
100	-1848.000000	122.244350	523457
102	-1844.000000	124.314966	513492
104	-1840.000000	126.399229	520176
106	-1836.000000	128.451019	513029
108	-1832.000000	130.524317	521618
110	-1828.000000	132.584717	520135
112	-1824.000000	134.634579	519343
114	-1820.000000	136.683083	519811
116	-1816.000000	138.721094	529798
118	-1812.000000	140.742130	521099
120	-1808.000000	142.761927	528852
122	-1804.000000	144.767365	520461
124	-1800.000000	146.778971	520636
126	-1796.000000	148.774591	519420
128	-1792.000000	150.789213	520694
130	-1788.000000	152.778624	516690
132	-1784.000000	154.773954	507890
134	-1780.000000	156.756029	514970
136	-1776.000000	158.729666	518860
138	-1772.000000	160.702900	511459
140	-1768.000000	162.668810	523394
142	-1764.000000	164.632196	515158
144	-1760.000000	166.588806	512833
146	-1756.000000	168.528738	506996
148	-1752.000000	170.486050	512195
150	-1748.000000	172.438372	509026
152	-1744.000000	174.371338	518435
154	-1740.000000	176.309549	513220
156	-1736.000000	178.234638	506085
158	-1732.000000	180.160770	511711
160	-1728.000000	182.080212	500547
162	-1724.000000	183.994875	505650
164	-1720.000000	185.898518	507247
166	-1716.000000	187.815125	507711
168	-1712.000000	189.717020	508886
170	-1708.000000	191.606276	505088
172	-1704.000000	193.513136	514674
174	-1700.000000	195.391226	508256
176	-1696.000000	197.281183	501804
178	-1692.000000	199.167900	506443
180	-1688.000000	201.054377	501872
182	-1684.000000	202.927725	501158
184	-1680.000000	204.808897	503852
186	-1676.000000	206.678522	506360
188	-1672.000000	208.554766	510392
190	-1668.000000	210.424612	508704
192	-1664.000000	212.297791	512257
194	-1660.000000	214.143417	505561
196	-1656.000000	216.009258	509145
198	-1652.000000	217.859091	508116
200	-1648.000000	219.708410	510452
202	-1644.000000	221.562683	510779
204	-1640.000000	223.419458	504750
206	-1636.000000	225.265217	510851
208	-1632.000000	227.091356	509098
210	-1628.000000	228.939159	514927
212	-1624.000000	230.760826	511403
214	-1620.000000	232.595482	510481
216	-1616.000000	234.424887	505798
218	-1612.000000	236.256048	505398
220	-1608.000000	238.087313	502642
222	-1604.000000	239.911715	507440
224	-1600.000000	241.732534	501442
226	-1596.000000	243.551403	505429
228	-1592.000000	245.357388	501475
230	-1588.000000	247.173958	495817
232	-1584.000000	248.982683	498366
234	-1580.000000	250.785900	489877
236	-1576.000000	252.599215	492008
238	-1572.000000	254.401752	492391
240	-1568.000000	256.215210	495227
242	-1564.000000	258.023540	499929
244	-1560.000000	259.808269	502491
246	-1556.000000	261.609186	503624
248	-1552.000000	263.403620	506074
250	-1548.000000	265.195740	504669
252	-1544.000000	266.985922	506870
254	-1540.000000	268.773994	501931
256	-1536.000000	270.557442	503107
258	-1532.000000	272.338564	504164
260	-1528.000000	274.129383	506669
262	-1524.000000	275.917274	504555
264	-1520.000000	277.699305	511222
266	-1516.000000	279.474770	511251
268	-1512.000000	281.252714	512138
270	-1508.000000	283.030994	515753
272	-1504.000000	284.803226	517013
274	-1500.000000	286.576292	518814
276	-1496.000000	288.338047	519303
278	-1492.000000	290.112741	523388
280	-1488.000000	291.879782	519846
282	-1484.000000	293.643675	522120
284	-1480.000000	295.407595	525064
286	-1476.000000	297.172060	524676
288	-1472.000000	298.931019	523945
290	-1468.000000	300.679010	516000
292	-1464.000000	302.429501	515889
294	-1460.000000	304.180853	511530
296	-1456.000000	305.937965	510125
298	-1452.000000	307.674828	505345
300	-1448.000000	309.431299	506906
302	-1444.000000	311.175335	503441
304	-1440.000000	312.923342	502094
306	-1436.000000	314.660152	494535
308	-1432.000000	316.407412	493810
310	-1428.000000	318.141365	490059
312	-1424.000000	319.874027	482043
314	-1420.000000	321.613142	489036
316	-1416.000000	323.351389	490114
318	-1412.000000	325.103954	491031
320	-1408.000000	326.839041	492694
322	-1404.000000	328.575788	497370
324	-1400.000000	330.312397	490529
326	-1396.000000	332.037148	488071
328	-1392.000000	333.776335	486666
330	-1388.000000	335.524990	493243
332	-1384.000000	337.250469	500943
334	-1380.000000	338.985567	497948
336	-1376.000000	340.720093	498945
338	-1372.000000	342.452534	500279
340	-1368.000000	344.195972	502183
342	-1364.000000	345.920246	496329
344	-1360.000000	347.636242	499455
346	-1356.000000	349.363735	503257
348	-1352.000000	351.089813	501161
350	-1348.000000	352.808338	498089
352	-1344.000000	354.521458	494439
354	-1340.000000	356.237265	498448
356	-1336.000000	357.959637	497659
358	-1332.000000	359.664183	495822
360	-1328.000000	361.377731	498479
362	-1324.000000	363.086538	502502
364	-1320.000000	364.795206	497928
366	-1316.000000	366.508972	495301
368	-1312.000000	368.220161	501133
370	-1308.000000	369.929550	495429
372	-1304.000000	371.629110	498412
374	-1300.000000	373.340635	500136
376	-1296.000000	375.042494	495850
378	-1292.000000	376.742289	495394
380	-1288.000000	378.430952	491390
382	-1284.000000	380.127600	492748
384	-1280.000000	381.819895	489976
386	-1276.000000	383.511463	487335
388	-1272.000000	385.206390	482863
390	-1268.000000	386.884933	484871
392	-1264.000000	388.576231	483480
394	-1260.000000	390.256767	489713
396	-1256.000000	391.937143	492634
398	-1252.000000	393.616968	495994
400	-1248.000000	395.296261	493621
402	-1244.000000	396.974766	499443
404	-1240.000000	398.644718	494075
406	-1236.000000	400.315008	495216
408	-1232.000000	401.979971	493486
410	-1228.000000	403.654785	493941
412	-1224.000000	405.314486	491876
414	-1220.000000	406.978420	489513
416	-1216.000000	408.635408	488390
418	-1212.000000	410.293489	489268
420	-1208.000000	411.948444	489569
422	-1204.000000	413.606010	494525
424	-1200.000000	415.263000	497333
426	-1196.000000	416.909445	493588
428	-1192.000000	418.551548	497891
430	-1188.000000	420.199604	496775
432	-1184.000000	421.836731	493873
434	-1180.000000	423.477859	496037
436	-1176.000000	425.110439	498359
438	-1172.000000	426.735376	504764
440	-1168.000000	428.368620	506866
442	-1164.000000	429.992149	506579
444	-1160.000000	431.616600	508507
446	-1156.000000	433.241858	506340
448	-1152.000000	434.857599	507072
450	-1148.000000	436.475880	504851
452	-1144.000000	438.085989	503786
454	-1140.000000	439.695139	507628
456	-1136.000000	441.308960	509867
458	-1132.000000	442.914919	510592
460	-1128.000000	444.510452	508301
462	-1124.000000	446.102556	512018
464	-1120.000000	447.700405	509021
466	-1116.000000	449.296574	512593
468	-1112.000000	450.884624	510355
470	-1108.000000	452.472662	510990
472	-1104.000000	454.057306	512106
474	-1100.000000	455.636272	511359
476	-1096.000000	457.211500	512210
478	-1092.000000	458.787163	515359
480	-1088.000000	460.358257	516983
