0.01	-nan	-nan
0.02	121.793	0
0.03	121.793	0
0.04	121.793	0
0.05	121.793	0
0.06	121.793	-1.5522e-08
0.07	121.793	0
0.08	121.793	1.16415e-08
0.09	121.793	0
0.1	121.793	-9.31323e-09
0.11	121.793	0
0.12	121.793	0
0.13	121.793	0
0.14	121.793	0
0.15	121.793	0
0.16	121.793	0
0.17	121.793	-5.47837e-09
0.18	121.793	0
0.19	121.793	-4.9017e-09
0.2	121.793	1.62981e-08
0.21	121.793	9.75671e-08
0.22	121.793	5.4186e-07
0.23	121.793	2.52267e-06
0.24	121.793	1.02892e-05
0.25	121.793	3.7469e-05
0.26	121.793	0.000123361
0.27	121.793	0.000371291
0.28	121.793	0.00103156
0.29	121.793	0.00266765
0.3	121.793	0.00646781
0.31	121.793	0.0147947
0.32	121.793	0.0321038
0.33	121.793	0.066406
0.34	121.793	0.131493
0.35	121.793	0.250198
0.36	121.793	0.458986
0.37	121.793	0.814231
0.38	121.793	1.40051
0.39	121.793	2.34131
0.4	121.793	3.8124
0.41	121.793	6.05827
0.42	121.793	9.41184
0.43	121.793	14.3175
0.44	121.793	21.3579
0.45	121.793	31.2836
0.46	121.794	45.0473
0.47	121.794	63.8399
0.48	121.795	89.1301
0.49	121.795	122.707
0.5	121.796	166.723
0.51	121.797	223.74
0.52	121.799	296.777
0.53	121.801	389.354
0.54	121.803	505.539
0.55	121.806	649.996
0.56	121.81	828.024
0.57	121.815	1045.6
0.58	121.821	1309.42
0.59	121.828	1626.93
0.6	121.837	2006.36
0.61	121.848	2456.73
0.62	121.861	2987.89
0.63	121.877	3610.56
0.64	121.895	4336.25
0.65	121.917	5177.37
0.66	121.942	6147.13
0.67	121.972	7259.57
0.68	122.006	8529.56
0.69	122.046	9972.68
0.7	122.091	11605.3
0.71	122.144	13444.3
0.72	122.203	15507.4
0.73	122.271	17812.7
0.74	122.348	20378.8
0.75	122.434	23224.5
0.76	122.531	26369
0.77	122.639	29831.6
0.78	122.76	33631.4
0.79	122.895	37787.5
0.8	123.044	42318.7
0.81	123.209	47243
0.82	123.39	52578
0.83	123.589	58340.2
0.84	123.808	64545.1
0.85	124.046	71206.7
0.86	124.307	78337.8
0.87	124.59	85948.9
0.88	124.896	94048.8
0.89	125.228	102644
0.9	125.586	111738
0.91	125.972	121332
0.92	126.387	131425
0.93	126.831	142010
0.94	127.307	153079
0.95	127.814	164620
0.96	128.355	176617
0.97	128.93	189048
0.98	129.54	201889
0.99	130.185	215112
1	130.867	228684
1.01	131.586	242565
1.02	132.343	256715
1.03	133.137	271087
1.04	133.97	285631
1.05	134.841	300292
1.06	135.751	315011
1.07	136.698	329728
1.08	137.684	344376
1.09	138.706	358889
1.1	139.765	373197
1.11	140.86	387229
1.12	141.989	400911
1.13	143.151	414171
1.14	144.345	426936
1.15	145.569	439135
1.16	146.822	450696
1.17	148.1	461553
1.18	149.402	471641
1.19	150.726	480900
1.2	152.068	489273
1.21	153.426	496709
1.22	154.797	503165
1.23	156.178	508602
1.24	157.564	512990
1.25	158.954	516305
1.26	160.343	518532
1.27	161.728	519664
1.28	163.104	519702
1.29	164.469	518655
1.3	165.817	516541
1.31	167.147	513387
1.32	168.452	509224
1.33	169.73	504095
1.34	170.977	498047
1.35	172.19	491132
1.36	173.364	483410
1.37	174.496	474944
1.38	175.583	465800
1.39	176.622	456049
1.4	177.609	445762
1.41	178.543	435012
1.42	179.42	423870
1.43	180.239	412409
1.44	180.998	400698
1.45	181.694	388806
1.46	182.326	376796
1.47	182.894	364729
1.48	183.397	352663
1.49	183.834	340650
1.5	184.204	328737
1.51	184.509	316967
1.52	184.747	305378
1.53	184.921	294003
1.54	185.031	282869
1.55	185.077	272001
1.56	185.062	261416
1.57	184.986	251131
1.58	184.852	241156
1.59	184.662	231500
1.6	184.416	222167
1.61	184.118	213159
1.62	183.77	204476
1.63	183.374	196117
1.64	182.932	188078
1.65	182.447	180354
1.66	181.921	172938
1.67	181.356	165823
1.68	180.755	159002
1.69	180.121	152465
1.7	179.455	146203
1.71	178.76	140206
1.72	178.038	134463
1.73	177.292	128965
1.74	176.524	123699
1.75	175.737	118653
1.76	174.933	113817
1.77	174.113	109177
1.78	173.282	104721
1.79	172.441	100438
1.8	171.592	96315.2
1.81	170.739	92340.9
1.82	169.884	88504.1
1.83	169.031	84794.5
1.84	168.181	81202.6
1.85	167.339	77720.2
1.86	166.507	74340.5
1.87	165.688	71058
1.88	164.886	67869
1.89	164.105	64771.6
1.9	163.346	61765.5
1.91	162.615	58852.2
1.92	161.914	56034.8
1.93	161.245	53318
1.94	160.613	50707.8
1.95	160.02	48211
1.96	159.468	45835.6
1.97	158.959	43589.7
1.98	158.495	41481.8
1.99	158.076	39520.4
2	157.705	37713.7
2.01	157.379	36069.8
2.02	157.099	34596.5
2.03	156.863	33301.8
2.04	156.667	32193.8
2.05	156.509	31281.9
2.06	156.384	30577.1
2.07	156.285	30093
2.08	156.207	29846.7
2.09	156.141	29860.5
2.1	156.078	30162.3
2.11	156.009	30787.1
2.12	155.92	31778
2.13	155.801	33186.5
2.14	155.637	35072.9
2.15	155.414	37505.9
2.16	155.117	40561.1
2.17	154.73	44320
2.18	154.237	48865.8
2.19	153.622	54280.7
2.2	152.869	60640.7
2.21	151.962	68009.8
2.22	150.888	76434.5
2.23	149.632	85937.2
2.24	148.184	96510.1
2.25	146.535	108110
2.26	144.679	120656
2.27	142.611	134024
2.28	140.331	148049
2.29	137.843	162531
2.3	135.153	177233
2.31	132.269	191895
2.32	129.206	206243
2.33	125.978	219999
2.34	122.604	232890
2.35	119.104	244666
2.36	115.5	255105
2.37	111.813	264021
2.38	108.068	271275
2.39	104.286	276772
2.4	100.49	280468
2.41	96.7015	282364
2.42	92.9392	282502
2.43	89.2214	280963
2.44	85.5642	277858
2.45	81.9816	273323
2.46	78.4859	267510
2.47	75.087	260581
2.48	71.7933	252703
2.49	68.611	244043
2.5	65.5448	234762
2.51	62.598	225013
2.52	59.7723	214938
2.53	57.0683	204666
2.54	54.4857	194313
2.55	52.023	183982
2.56	49.6783	173759
2.57	47.4487	163721
2.58	45.3313	153929
2.59	43.3224	144434
2.6	41.4181	135275
2.61	39.6145	126482
2.62	37.9073	118078
2.63	36.2923	110075
2.64	34.7653	102481
2.65	33.3219	95299.7
2.66	31.9581	88527.1
2.67	30.6696	82157.2
2.68	29.4525	76180.6
2.69	28.3029	70585.6
2.7	27.217	65358.3
2.71	26.1913	60483.8
2.72	25.2223	55945.7
2.73	24.3068	51727.5
2.74	23.4417	47812.2
2.75	22.6239	44182.5
2.76	21.8507	40821.6
2.77	21.1194	37712.9
2.78	20.4275	34840
2.79	19.7728	32187.4
2.8	19.1529	29739.9
2.81	18.5658	27483.2
2.82	18.0095	25403.6
2.83	17.4822	23488.1
2.84	16.9822	21724.5
2.85	16.5079	20101.3
2.86	16.0578	18607.7
2.87	15.6305	17233.6
2.88	15.2246	15969.7
2.89	14.8389	14807.2
2.9	14.4723	13737.9
2.91	14.1237	12754.4
2.92	13.7921	11849.7
2.93	13.4765	11017.3
2.94	13.1761	10251.4
2.95	12.89	9546.48
2.96	12.6174	8897.48
2.97	12.3577	8299.8
2.98	12.1101	7749.19
2.99	11.874	7241.76
3	11.6487	6773.93
3.01	11.4338	6342.43
3.02	11.2286	5944.25
3.03	11.0328	5576.65
3.04	10.8457	5237.12
3.05	10.6669	4923.35
3.06	10.496	4633.23
3.07	10.3327	4364.84
3.08	10.1764	4116.42
3.09	10.027	3886.34
3.1	9.88393	3673.15
3.11	9.74696	3475.49
3.12	9.61578	3292.12
3.13	9.49009	3121.91
3.14	9.36959	2963.83
3.15	9.25404	2816.93
3.16	9.14317	2680.34
3.17	9.03675	2553.27
3.18	8.93454	2434.99
3.19	8.83633	2324.82
3.2	8.7419	2222.15
3.21	8.65106	2126.42
3.22	8.56361	2037.12
3.23	8.47939	1953.75
3.24	8.3982	1875.89
3.25	8.3199	1803.14
3.26	8.24433	1735.11
3.27	8.17133	1671.47
3.28	8.10076	1611.91
3.29	8.03249	1556.13
3.3	7.96639	1503.87
3.31	7.90234	1454.87
3.32	7.84022	1408.91
3.33	7.77993	1365.77
3.34	7.72135	1325.26
3.35	7.66439	1287.21
3.36	7.60895	1251.43
3.37	7.55494	1217.78
3.38	7.50228	1186.1
3.39	7.45089	1156.27
3.4	7.40069	1128.17
3.41	7.35161	1101.67
3.42	7.30358	1076.67
3.43	7.25654	1053.06
3.44	7.21042	1030.76
3.45	7.16518	1009.68
3.46	7.12075	989.742
3.47	7.07709	970.864
3.48	7.03414	952.978
3.49	6.99187	936.02
3.5	6.95023	919.929
3.51	6.90919	904.647
3.52	6.8687	890.122
3.53	6.82874	876.303
3.54	6.78926	863.146
3.55	6.75025	850.605
3.56	6.71168	838.64
3.57	6.67351	827.214
3.58	6.63573	816.291
3.59	6.59831	805.838
3.6	6.56124	795.823
3.61	6.52449	786.217
3.62	6.48805	776.993
3.63	6.4519	768.126
3.64	6.41604	759.591
3.65	6.38044	751.366
3.66	6.34509	743.43
3.67	6.30999	735.763
3.68	6.27512	728.347
3.69	6.24048	721.164
3.7	6.20605	714.198
3.71	6.17184	707.435
3.72	6.13784	700.859
3.73	6.10404	694.458
3.74	6.07043	688.219
3.75	6.03701	682.13
3.76	6.00379	676.181
3.77	5.97075	670.361
3.78	5.9379	664.662
3.79	5.90523	659.073
3.8	5.87274	653.588
3.81	5.84044	648.198
3.82	5.80831	642.896
3.83	5.77637	637.675
3.84	5.74461	632.529
3.85	5.71302	627.454
3.86	5.68163	622.442
3.87	5.65041	617.49
3.88	5.61938	612.593
3.89	5.58853	607.746
3.9	5.55787	602.947
3.91	5.5274	598.19
3.92	5.49712	593.474
3.93	5.46703	588.795
3.94	5.43714	584.151
3.95	5.40744	579.538
3.96	5.37793	574.956
3.97	5.34863	570.401
3.98	5.31953	565.872
3.99	5.29063	561.368
4	5.26193	556.887
4.01	5.23344	552.428
4.02	5.20516	547.989
4.03	5.17709	543.57
4.04	5.14923	539.17
4.05	5.12158	534.789
4.06	5.09415	530.425
4.07	5.06694	526.078
4.08	5.03995	521.749
4.09	5.01317	517.436
4.1	4.98662	513.139
4.11	4.96028	508.859
4.12	4.93417	504.595
4.13	4.90829	500.348
4.14	4.88263	496.117
4.15	4.8572	491.903
4.16	4.832	487.706
4.17	4.80702	483.525
4.18	4.78227	479.363
4.19	4.75775	475.218
4.2	4.73347	471.091
4.21	4.70941	466.983
4.22	4.68558	462.893
4.23	4.66198	458.823
4.24	4.63862	454.773
4.25	4.61548	450.743
4.26	4.59258	446.733
4.27	4.56991	442.745
4.28	4.54746	438.779
4.29	4.52525	434.835
4.3	4.50327	430.913
4.31	4.48152	427.015
4.32	4.45999	423.14
4.33	4.4387	419.289
4.34	4.41763	415.463
4.35	4.39679	411.662
4.36	4.37617	407.887
4.37	4.35578	404.137
4.38	4.33561	400.414
4.39	4.31567	396.718
4.4	4.29595	393.049
4.41	4.27645	389.408
4.42	4.25716	385.795
4.43	4.2381	382.21
4.44	4.21926	378.654
4.45	4.20063	375.127
4.46	4.18221	371.63
4.47	4.16401	368.162
4.48	4.14602	364.724
4.49	4.12823	361.317
4.5	4.11066	357.94
4.51	4.0933	354.594
4.52	4.07613	351.279
4.53	4.05918	347.995
4.54	4.04242	344.743
4.55	4.02586	341.522
4.56	4.00951	338.333
4.57	3.99334	335.176
4.58	3.97738	332.051
4.59	3.9616	328.958
4.6	3.94602	325.897
4.61	3.93063	322.868
4.62	3.91542	319.871
4.63	3.9004	316.907
4.64	3.88556	313.976
4.65	3.8709	311.076
4.66	3.85643	308.209
4.67	3.84213	305.374
4.68	3.82801	302.572
4.69	3.81406	299.802
4.7	3.80028	297.064
4.71	3.78667	294.358
4.72	3.77323	291.684
4.73	3.75996	289.043
4.74	3.74685	286.433
4.75	3.7339	283.855
4.76	3.72111	281.308
4.77	3.70848	278.793
4.78	3.69601	276.309
4.79	3.68369	273.856
4.8	3.67152	271.435
4.81	3.6595	269.044
4.82	3.64763	266.683
4.83	3.63591	264.354
4.84	3.62433	262.054
4.85	3.6129	259.784
4.86	3.6016	257.545
4.87	3.59045	255.335
4.88	3.57943	253.154
4.89	3.56855	251.003
4.9	3.5578	248.88
4.91	3.54718	246.786
4.92	3.53669	244.72
